sync_index,camera,pts_ns,arrival_ns,corrected_ns,offset_from_mean_ns,spread_ns
0,0,1668028314100000,1668028375026625,1668028385506708,9835104,19670208
0,1,1668028350066666,1668028377434083,1668028365836500,-9835104,19670208
1,0,1668028347440000,1668028408184583,1668028418846708,10005104,20010208
1,1,1668028383066666,1668028408596708,1668028398836500,-10005104,20010208
2,0,1668028380770000,1668028442017916,1668028452176708,10170104,20340208
2,1,1668028416066666,1668028441488833,1668028431836500,-10170104,20340208
3,0,1668028414110000,1668028474655458,1668028485516708,1340104,2680208
3,1,1668028467066666,1668028490318416,1668028482836500,-1340104,2680208
4,0,1668028447450000,1668028507730125,1668028518856708,1510104,3020208
4,1,1668028500066666,1668028521358208,1668028515836500,-1510104,3020208
5,0,1668028480790000,1668028541755541,1668028552196708,1680104,3360208
5,1,1668028533066666,1668028553525166,1668028548836500,-1680104,3360208
6,0,1668028547460000,1668028608399083,1668028618866708,10015104,20030208
6,1,1668028583066666,1668028601990875,1668028598836500,-10015104,20030208
7,0,1668028580800000,1668028641848250,1668028652206708,1685104,3370208
7,1,1668028633066666,1668028648442000,1668028648836500,-1685104,3370208
8,0,1668028614130000,1668028674349791,1668028685536708,1850104,3700208
8,1,1668028666066666,1668028681543416,1668028681836500,-1850104,3700208
9,0,1668028647470000,1668028708957041,1668028718876708,1520104,3040208
9,1,1668028700066666,1668028712844541,1668028715836500,-1520104,3040208
10,0,1668028680810000,1668028742889875,1668028752216708,1690104,3380208
10,1,1668028733066666,1668028761100500,1668028748836500,-1690104,3380208
11,0,1668028714150000,1668028774898666,1668028785556708,1860104,3720208
11,1,1668028766066666,1668028793155833,1668028781836500,-1860104,3720208
12,0,1668028747480000,1668028808712208,1668028818886708,1525104,3050208
12,1,1668028800066666,1668028824538666,1668028815836500,-1525104,3050208
13,0,1668028814160000,1668028875079708,1668028885566708,9865104,19730208
13,1,1668028850066666,1668028872919250,1668028865836500,-9865104,19730208
14,0,1668028847490000,1668028907524166,1668028918896708,1530104,3060208
14,1,1668028900066666,1668028920887625,1668028915836500,-1530104,3060208
15,0,1668028880830000,1668028941260416,1668028952236708,1700104,3400208
15,1,1668028933066666,1668028953006166,1668028948836500,-1700104,3400208
16,0,1668028914170000,1668028974525291,1668028985576708,1370104,2740208
16,1,1668028967066666,1668028984693833,1668028982836500,-1370104,2740208
17,0,1668028947500000,1668029009290125,1668029018906708,-6464896,12929792
17,1,1668029016066666,1668029033285875,1668029031836500,6464896,12929792
18,0,1668028980840000,1668029042195875,1668029052246708,-6811563,13623126
18,1,1668029050100000,1668029065996916,1668029065869834,6811563,13623126
19,0,1668029047520000,1668029108091333,1668029118926708,1545104,3090208
19,1,1668029100066666,1668029112497458,1668029115836500,-1545104,3090208
20,0,1668029080850000,1668029142566000,1668029152256708,10193437,20386874
20,1,1668029116100000,1668029144405958,1668029131869834,-10193437,20386874
21,0,1668029114190000,1668029175441208,1668029185596708,9880104,19760208
21,1,1668029150066666,1668029176558291,1668029165836500,-9880104,19760208
22,0,1668029147530000,1668029208526458,1668029218936708,1550104,3100208
22,1,1668029200066666,1668029224454083,1668029215836500,-1550104,3100208
23,0,1668029180860000,1668029242340291,1668029252266708,1715104,3430208
23,1,1668029233066666,1668029257054541,1668029248836500,-1715104,3430208
24,0,1668029214200000,1668029274903791,1668029285606708,1885104,3770208
24,1,1668029266066666,1668029288929458,1668029281836500,-1885104,3770208
25,0,1668029247540000,1668029308881500,1668029318946708,1555104,3110208
25,1,1668029300066666,1668029320961666,1668029315836500,-1555104,3110208
26,0,1668029314210000,1668029375578208,1668029385616708,9890104,19780208
26,1,1668029350066666,1668029369779000,1668029365836500,-9890104,19780208
27,0,1668029347550000,1668029407625750,1668029418956708,10060104,20120208
27,1,1668029383066666,1668029401097750,1668029398836500,-10060104,20120208
28,0,1668029380890000,1668029441879666,1668029452296708,1730104,3460208
28,1,1668029433066666,1668029449706250,1668029448836500,-1730104,3460208
29,0,1668029414220000,1668029474457166,1668029485626708,1895104,3790208
29,1,1668029466066666,1668029481653291,1668029481836500,-1895104,3790208
30,0,1668029447560000,1668029508958250,1668029518966708,1565104,3130208
30,1,1668029500066666,1668029512966708,1668029515836500,-1565104,3130208
31,0,1668029480900000,1668029539960375,1668029552306708,1735104,3470208
31,1,1668029533066666,1668029561077541,1668029548836500,-1735104,3470208
32,0,1668029514230000,1668029576685041,1668029585636708,1900104,3800208
32,1,1668029566066666,1668029593155083,1668029581836500,-1900104,3800208
33,0,1668029547570000,1668029608448083,1668029618976708,1570104,3140208
33,1,1668029600066666,1668029625407500,1668029615836500,-1570104,3140208
34,0,1668029614250000,1668029675082083,1668029685656708,9910104,19820208
34,1,1668029650066666,1668029672687250,1668029665836500,-9910104,19820208
35,0,1668029647580000,1668029707920375,1668029718986708,10075104,20150208
35,1,1668029683066666,1668029705007166,1668029698836500,-10075104,20150208
36,0,1668029680920000,1668029741473916,1668029752326708,10245104,20490208
36,1,1668029716066666,1668029737692291,1668029731836500,-10245104,20490208
37,0,1668029714260000,1668029775006583,1668029785666708,1898437,3796874
37,1,1668029766100000,1668029785074750,1668029781869834,-1898437,3796874
38,0,1668029747590000,1668029808626458,1668029818996708,1563437,3126874
38,1,1668029800100000,1668029817046416,1668029815869834,-1563437,3126874
39,0,1668029780930000,1668029842513083,1668029852336708,1733437,3466874
39,1,1668029833100000,1668029848536958,1668029848869834,-1733437,3466874
40,0,1668029814270000,1668029875084375,1668029885676708,-6596563,13193126
40,1,1668029883100000,1668029896985791,1668029898869834,6596563,13193126
41,0,1668029847610000,1668029907833000,1668029919016708,-6426563,12853126
41,1,1668029916100000,1668029929460416,1668029931869834,6426563,12853126
42,0,1668029914280000,1668029974733916,1668029985686708,9908437,19816874
42,1,1668029950100000,1668029976543000,1668029965869834,-9908437,19816874
43,0,1668029947620000,1668030008520291,1668030019026708,10095104,20190208
43,1,1668029983066666,1668030008680916,1668029998836500,-10095104,20190208
44,0,1668029980950000,1668030041945666,1668030052356708,10260104,20520208
44,1,1668030016066666,1668030040854125,1668030031836500,-10260104,20520208
45,0,1668030014290000,1668030074846958,1668030085696708,1930104,3860208
45,1,1668030066066666,1668030089262333,1668030081836500,-1930104,3860208
46,0,1668030047630000,1668030108532875,1668030119036708,1583437,3166874
46,1,1668030100100000,1668030121161541,1668030115869834,-1583437,3166874
47,0,1668030080960000,1668030140835125,1668030152366708,1748437,3496874
47,1,1668030133100000,1668030153201458,1668030148869834,-1748437,3496874
48,0,1668030114300000,1668030175750625,1668030185706708,-6581563,13163126
48,1,1668030183100000,1668030201498083,1668030198869834,6581563,13163126
49,0,1668030180980000,1668030241631958,1668030252386708,10258437,20516874
49,1,1668030216100000,1668030233027416,1668030231869834,-10258437,20516874
50,0,1668030214310000,1668030274212041,1668030285716708,1923437,3846874
50,1,1668030266100000,1668030280791333,1668030281869834,-1923437,3846874
51,0,1668030247650000,1668030308575916,1668030319056708,1610104,3220208
51,1,1668030300066666,1668030312989500,1668030315836500,-1610104,3220208
52,0,1668030280990000,1668030341933875,1668030352396708,10263437,20526874
52,1,1668030316100000,1668030329469250,1668030331869834,-10263437,20526874
53,0,1668030314320000,1668030375503625,1668030385726708,1928437,3856874
53,1,1668030366100000,1668030393195083,1668030381869834,-1928437,3856874
54,0,1668030347660000,1668030409695291,1668030419066708,1598437,3196874
54,1,1668030400100000,1668030424907583,1668030415869834,-1598437,3196874
55,0,1668030414340000,1668030475515125,1668030485746708,9938437,19876874
55,1,1668030450100000,1668030472777541,1668030465869834,-9938437,19876874
56,0,1668030447670000,1668030507782750,1668030519076708,10120104,20240208
56,1,1668030483066666,1668030504900666,1668030498836500,-10120104,20240208
57,0,1668030481010000,1668030541141500,1668030552416708,10273437,20546874
57,1,1668030516100000,1668030536319625,1668030531869834,-10273437,20546874
58,0,1668030514350000,1668030574895750,1668030585756708,1943437,3886874
58,1,1668030566100000,1668030585144333,1668030581869834,-1943437,3886874
59,0,1668030547680000,1668030608365583,1668030619086708,1608437,3216874
59,1,1668030600100000,1668030616975333,1668030615869834,-1608437,3216874
60,0,1668030581020000,1668030641643708,1668030652426708,-6721563,13443126
60,1,1668030650100000,1668030664834500,1668030665869834,6721563,13443126
61,0,1668030614360000,1668030674975500,1668030685766708,-6551563,13103126
61,1,1668030683100000,1668030697267250,1668030698869834,6551563,13103126
62,0,1668030647690000,1668030707928833,1668030719096708,1613437,3226874
62,1,1668030700100000,1668030712534500,1668030715869834,-1613437,3226874
63,0,1668030714370000,1668030774807125,1668030785776708,9970104,19940208
63,1,1668030750066666,1668030776768416,1668030765836500,-9970104,19940208
64,0,1668030747710000,1668030808083000,1668030819116708,10123437,20246874
64,1,1668030783100000,1668030808719416,1668030798869834,-10123437,20246874
65,0,1668030781040000,1668030840890291,1668030852446708,10288437,20576874
65,1,1668030816100000,1668030840607333,1668030831869834,-10288437,20576874
66,0,1668030814380000,1668030875294750,1668030885786708,1958437,3916874
66,1,1668030866100000,1668030888738958,1668030881869834,-1958437,3916874
67,0,1668030847720000,1668030908493916,1668030919126708,1628437,3256874
67,1,1668030900100000,1668030921679416,1668030915869834,-1628437,3256874
68,0,1668030914390000,1668030969077708,1668030985796708,9963437,19926874
68,1,1668030950100000,1668030968857541,1668030965869834,-9963437,19926874
69,0,1668030947730000,1668031001901458,1668031019136708,10133437,20266874
69,1,1668030983100000,1668031000765833,1668030998869834,-10133437,20266874
70,0,1668030981070000,1668031035082166,1668031052476708,1803437,3606874
70,1,1668031033100000,1668031049445541,1668031048869834,-1803437,3606874
71,0,1668031014400000,1668031068119666,1668031085806708,1968437,3936874
71,1,1668031066100000,1668031080569250,1668031081869834,-1968437,3936874
72,0,1668031047740000,1668031104473250,1668031119146708,1638437,3276874
72,1,1668031100100000,1668031113507625,1668031115869834,-1638437,3276874
73,0,1668031081080000,1668031135561125,1668031152486708,1808437,3616874
73,1,1668031133100000,1668031160704458,1668031148869834,-1808437,3616874
74,0,1668031114410000,1668031169223416,1668031185816708,1973437,3946874
74,1,1668031166100000,1668031192531791,1668031181869834,-1973437,3946874
75,0,1668031181090000,1668031236000000,1668031252496708,10313437,20626874
75,1,1668031216100000,1668031240944208,1668031231869834,-10313437,20626874
76,0,1668031214420000,1668031269191583,1668031285826708,9978437,19956874
76,1,1668031250100000,1668031272881750,1668031265869834,-9978437,19956874
77,0,1668031247760000,1668031301993916,1668031319166708,10148437,20296874
77,1,1668031283100000,1668031304713375,1668031298869834,-10148437,20296874
78,0,1668031281100000,1668031336609458,1668031352506708,1818437,3636874
78,1,1668031333100000,1668031353205458,1668031348869834,-1818437,3636874
79,0,1668031314440000,1668031369635416,1668031385846708,1988437,3976874
79,1,1668031366100000,1668031385510250,1668031381869834,-1988437,3976874
80,0,1668031347770000,1668031402402041,1668031419176708,1653437,3306874
80,1,1668031400100000,1668031416482666,1668031415869834,-1653437,3306874
81,0,1668031414450000,1668031469183166,1668031485856708,9993437,19986874
81,1,1668031450100000,1668031465869250,1668031465869834,-9993437,19986874
82,0,1668031447780000,1668031501387375,1668031519186708,10158437,20316874
82,1,1668031483100000,1668031497140666,1668031498869834,-10158437,20316874
83,0,1668031481120000,1668031536275625,1668031552526708,10328437,20656874
83,1,1668031516100000,1668031529590750,1668031531869834,-10328437,20656874
84,0,1668031514460000,1668031569244416,1668031585866708,9998437,19996874
84,1,1668031550100000,1668031576548916,1668031565869834,-9998437,19996874
85,0,1668031547800000,1668031602461458,1668031619206708,1668437,3336874
85,1,1668031600100000,1668031624702625,1668031615869834,-1668437,3336874
86,0,1668031581130000,1668031635445875,1668031652536708,1833437,3666874
86,1,1668031633100000,1668031657783333,1668031648869834,-1833437,3666874
87,0,1668031614470000,1668031671368000,1668031685876708,2003437,4006874
87,1,1668031666100000,1668031688888541,1668031681869834,-2003437,4006874
88,0,1668031681140000,1668031735522125,1668031752546708,10338437,20676874
88,1,1668031716100000,1668031736501041,1668031731869834,-10338437,20676874
89,0,1668031714480000,1668031770092583,1668031785886708,10508437,21016874
89,1,1668031749100000,1668031769603333,1668031764869834,-10508437,21016874
90,0,1668031747820000,1668031802885250,1668031819226708,10178437,20356874
90,1,1668031783100000,1668031800877250,1668031798869834,-10178437,20356874
91,0,1668031781160000,1668031835658083,1668031852566708,1848437,3696874
91,1,1668031833100000,1668031849172541,1668031848869834,-1848437,3696874
92,0,1668031814490000,1668031869382083,1668031885896708,2013437,4026874
92,1,1668031866100000,1668031881302250,1668031881869834,-2013437,4026874
93,0,1668031847830000,1668031902759958,1668031919236708,1683437,3366874
93,1,1668031900100000,1668031913702250,1668031915869834,-1683437,3366874
94,0,1668031881170000,1668031935529791,1668031952576708,1853437,3706874
94,1,1668031933100000,1668031961290291,1668031948869834,-1853437,3706874
95,0,1668031914500000,1668031968895458,1668031985906708,2018437,4036874
95,1,1668031966100000,1668031992789541,1668031981869834,-2018437,4036874
96,0,1668031981180000,1668032036703000,1668032052586708,10358437,20716874
96,1,1668032016100000,1668032040469958,1668032031869834,-10358437,20716874
97,0,1668032014510000,1668032069877291,1668032085916708,10523437,21046874
97,1,1668032049100000,1668032072856625,1668032064869834,-10523437,21046874
98,0,1668032047850000,1668032102759333,1668032119256708,10193437,20386874
98,1,1668032083100000,1668032104364208,1668032098869834,-10193437,20386874
99,0,1668032081190000,1668032136139791,1668032152596708,1863437,3726874
99,1,1668032133100000,1668032153020750,1668032148869834,-1863437,3726874
